county_fips,n_eligible_schools,n_participating,cep_school_rate
29001.0,6,1,0.16666666666666666
29007.0,6,4,0.6666666666666666
29009.0,12,1,0.08333333333333333
29011.0,9,0,0.0
29013.0,2,0,0.0
29015.0,7,5,0.7142857142857143
29017.0,7,2,0.2857142857142857
29019.0,27,8,0.2962962962962963
29021.0,24,16,0.6666666666666666
29023.0,15,6,0.4
29025.0,3,0,0.0
29027.0,9,0,0.0
29029.0,14,0,0.0
29031.0,11,8,0.7272727272727273
29033.0,2,2,1.0
29035.0,5,0,0.0
29039.0,3,1,0.3333333333333333
29041.0,2,0,0.0
29043.0,3,0,0.0
29047.0,26,0,0.0
29051.0,17,3,0.17647058823529413
29053.0,6,6,1.0
29055.0,9,3,0.3333333333333333
29057.0,4,0,0.0
29059.0,3,0,0.0
29061.0,4,2,0.5
29065.0,9,4,0.4444444444444444
29067.0,5,0,0.0
29069.0,18,18,1.0
29071.0,10,0,0.0
29077.0,48,0,0.0
29079.0,3,0,0.0
29081.0,7,0,0.0
29083.0,8,7,0.875
29085.0,5,3,0.6
29087.0,2,0,0.0
29091.0,11,0,0.0
29093.0,6,4,0.6666666666666666
29095.0,156,77,0.4935897435897436
29097.0,27,0,0.0
29101.0,3,0,0.0
29105.0,7,1,0.14285714285714285
29109.0,18,0,0.0
29113.0,3,0,0.0
29115.0,6,0,0.0
29117.0,1,0,0.0
29119.0,10,0,0.0
29121.0,1,0,0.0
29123.0,2,2,1.0
29125.0,3,0,0.0
29127.0,7,0,0.0
29129.0,1,0,0.0
29131.0,5,0,0.0
29133.0,9,6,0.6666666666666666
29135.0,1,0,0.0
29137.0,3,0,0.0
29139.0,2,0,0.0
29141.0,6,2,0.3333333333333333
29143.0,11,8,0.7272727272727273
29145.0,11,0,0.0
29149.0,8,0,0.0
29151.0,4,2,0.5
29153.0,8,2,0.25
29155.0,14,12,0.8571428571428571
29159.0,11,1,0.09090909090909091
29161.0,6,0,0.0
29163.0,3,0,0.0
29167.0,12,6,0.5
29169.0,9,2,0.2222222222222222
29175.0,9,0,0.0
29179.0,8,1,0.125
29181.0,8,5,0.625
29185.0,1,0,0.0
29186.0,4,0,0.0
29187.0,15,2,0.13333333333333333
29189.0,113,81,0.7168141592920354
29195.0,14,4,0.2857142857142857
29201.0,18,11,0.6111111111111112
29203.0,10,2,0.2
29207.0,9,0,0.0
29209.0,13,2,0.15384615384615385
29211.0,2,2,1.0
29213.0,16,0,0.0
29215.0,12,10,0.8333333333333334
29217.0,8,0,0.0
29219.0,10,0,0.0
29221.0,12,12,1.0
29223.0,7,0,0.0
29225.0,2,0,0.0
29229.0,12,0,0.0
29510.0,97,87,0.8969072164948454
