GEO_ID,geo_name,population_children,poverty_count_children,poverty_rate_children,fips,state_fips,county_fips
0500000US01001,"Autauga County, Alabama",13905,2052,14.8,01001,01,001
0500000US01003,"Baldwin County, Alabama",51338,7035,13.7,01003,01,003
0500000US01005,"Barbour County, Alabama",5053,1590,31.5,01005,01,005
0500000US01007,"Bibb County, Alabama",4337,1669,38.5,01007,01,007
0500000US01009,"Blount County, Alabama",13389,2118,15.8,01009,01,009
0500000US01011,"Bullock County, Alabama",2024,966,47.7,01011,01,011
0500000US01013,"Butler County, Alabama",4052,1436,35.4,01013,01,013
0500000US01015,"Calhoun County, Alabama",23986,5563,23.2,01015,01,015
0500000US01017,"Chambers County, Alabama",7018,1494,21.3,01017,01,017
0500000US01019,"Cherokee County, Alabama",4616,783,17.0,01019,01,019
0500000US01021,"Chilton County, Alabama",10634,1699,16.0,01021,01,021
0500000US01023,"Choctaw County, Alabama",2424,552,22.8,01023,01,023
0500000US01025,"Clarke County, Alabama",4832,1313,27.2,01025,01,025
0500000US01027,"Clay County, Alabama",2849,577,20.3,01027,01,027
0500000US01029,"Cleburne County, Alabama",3349,723,21.6,01029,01,029
0500000US01031,"Coffee County, Alabama",13004,2847,21.9,01031,01,031
0500000US01033,"Colbert County, Alabama",12100,3489,28.8,01033,01,033
0500000US01035,"Conecuh County, Alabama",2237,1234,55.2,01035,01,035
0500000US01037,"Coosa County, Alabama",1795,496,27.6,01037,01,037
0500000US01039,"Covington County, Alabama",8221,2155,26.2,01039,01,039
0500000US01041,"Crenshaw County, Alabama",2882,554,19.2,01041,01,041
0500000US01043,"Cullman County, Alabama",20215,4253,21.0,01043,01,043
0500000US01045,"Dale County, Alabama",11452,3106,27.1,01045,01,045
0500000US01047,"Dallas County, Alabama",8541,4075,47.7,01047,01,047
0500000US01049,"DeKalb County, Alabama",16832,5499,32.7,01049,01,049
0500000US01051,"Elmore County, Alabama",19062,2767,14.5,01051,01,051
0500000US01053,"Escambia County, Alabama",8215,1940,23.6,01053,01,053
0500000US01055,"Etowah County, Alabama",22261,5014,22.5,01055,01,055
0500000US01057,"Fayette County, Alabama",3406,1118,32.8,01057,01,057
0500000US01059,"Franklin County, Alabama",7934,2179,27.5,01059,01,059
0500000US01061,"Geneva County, Alabama",5860,1472,25.1,01061,01,061
0500000US01063,"Greene County, Alabama",1602,1036,64.7,01063,01,063
0500000US01065,"Hale County, Alabama",3572,1245,34.9,01065,01,065
0500000US01067,"Henry County, Alabama",3462,722,20.9,01067,01,067
0500000US01069,"Houston County, Alabama",24343,6313,25.9,01069,01,069
0500000US01071,"Jackson County, Alabama",10714,2532,23.6,01071,01,071
